2153,Seal SQ France,NULL,http://www.wisekey.com,7434,Wezen IP DMA AHB
2159,Zhortech,NULL,https://zhortech.com/,1005,ASIC : TEJAT
2160,CNES,NULL,https://cnes.fr/,6030,ASIC pour DAC X-IFU
2191,SCHNEIDER Electric Eybens,NULL,https://www.schneider-electric.fr/fr/,6212,SHEDDI : préétude
2191,SCHNEIDER Electric Eybens,NULL,https://www.schneider-electric.fr/fr/,6228,SHEDDI : Design
3175,AnotherBrain,NULL,https://anotherbrain.ai/fr/,6062,Prototypage : ASIC development neuroprocesseur
3175,AnotherBrain,NULL,https://anotherbrain.ai/fr/,6071,Industrialisation : ASIC neuromorphic
3175,AnotherBrain,NULL,https://anotherbrain.ai/fr/,6125,nouvelle étude
3176,CAIRDAC,NULL,http://www.cairdac.com/,6031,Développement ASIC ULP (CHARA)
3176,CAIRDAC,NULL,http://www.cairdac.com/,6099,ASICALPS
3176,CAIRDAC,NULL,http://www.cairdac.com/,6156,CAIRPMU2
3176,CAIRDAC,NULL,http://www.cairdac.com/,6157,Diagnostic PMU
3176,CAIRDAC,NULL,http://www.cairdac.com/,6169,Avenant reprise CHARA
3176,CAIRDAC,NULL,http://www.cairdac.com/,8644,Test de 100 puces au labo + socket
3176,CAIRDAC,NULL,http://www.cairdac.com/,8645,Socket test Chara v1b
3176,CAIRDAC,NULL,http://www.cairdac.com/,8646,Support utilisation de Chara dans environnement ap
3176,CAIRDAC,NULL,http://www.cairdac.com/,7477,Charav1b - cartes de démo/dev
3176,CAIRDAC,NULL,http://www.cairdac.com/,7524,15 cartes de proto Charav1b + accéléro
3176,CAIRDAC,NULL,http://www.cairdac.com/,7538,Chara-v1b-Pré-indus
3176,CAIRDAC,NULL,http://www.cairdac.com/,7543,Chara v1b - Préindus avec EWS et qualif WLCSP
3176,CAIRDAC,NULL,http://www.cairdac.com/,7545,Preindus Charav1b - WP7a
3176,CAIRDAC,NULL,http://www.cairdac.com/,8630,CHARA-Test 40 pcs
3176,CAIRDAC,NULL,http://www.cairdac.com/,7347,Pré industrialisation Chara v1
3176,CAIRDAC,NULL,http://www.cairdac.com/,7368,CAIRCPU
3176,CAIRDAC,NULL,http://www.cairdac.com/,7379,Charav1b - complement conso
3176,CAIRDAC,NULL,http://www.cairdac.com/,7382,CAIRCPU-ASIC
