Comp_CompanyId,Comp_Name,Comp_Website,bronze_extracted_at,bronze_source_file,company_id,parent_company_id,has_multiple_sites,site_order
4230,Sensimed,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4230,4230,False,1
4233,SICPA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4233,4233,False,1
4235,Silicon Mobility,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4235,4235,False,1
4242,Diabeloop,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4242,4242,False,1
4246,Sorin CRM S.A.S.,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4246,4246,False,1
4247,GreenWaves Technologies,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4247,4247,False,1
4255,CONTINENTAL Toulouse,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4255,4255,False,1
4256,CONTINENTAL Rambouillet,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4256,4256,False,1
4260,Alstom,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4260,4260,False,1
4282,IMEC ASIC Services,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4282,4282,False,1
4284,CSEM Neuchatel,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4284,4284,False,1
4287,STMicroelectronics (Crolles2) SAS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4287,4287,False,1
4291,SEMTECH FRANCE SAS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4291,4291,False,1
4293,SEMTECH Neuchâtel,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4293,4293,False,1
4299,DREAM,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4299,4299,False,1
4305,LYNRED,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4305,4305,False,1
4311,Alstom Aix,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4311,4311,False,1
4331,SYNERGIA Medical,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4331,4331,False,1
4342,Melexis Tessenderlo,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4342,4342,False,1
4345,MENTA Valbonne,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4345,4345,False,1
4349,Neelogy,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4349,4349,False,1
4369,GUC,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4369,4369,False,1
4710,RAMBUS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4710,4710,False,1
4718,THALES DIS Design Services,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4718,4718,False,1
4719,IDEMIA Meyreuil,,2025-09-18 11:45:13.289149,Legacy_companies.csv,4719,4719,False,1
5745,ENYX,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5745,5745,False,1
5768,EMKA TECHNOLOGIES,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5768,5768,False,1
5779,BIOFOURMIS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5779,5779,False,1
5787,SODERN,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5787,5787,False,1
5795,SENIS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5795,5795,False,1
5808,ELSYS Design 06,,2025-09-18 11:45:13.289149,Legacy_companies.csv,5808,5808,False,1
6899,THALES AVS Mérignac,,2025-09-18 11:45:13.289149,Legacy_companies.csv,6899,6899,False,1
7930,Advanced Silicon SA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7930,7930,False,1
7962,CERN,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7962,7962,False,1
7965,LEM,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7965,7965,False,1
7980,EM Microelectronic,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7980,7980,False,1
7987,Trameto,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7987,7987,False,1
7988,FORVIA Nanterre,,2025-09-18 11:45:13.289149,Legacy_companies.csv,7988,7988,False,1
9016,PYXALIS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9016,9016,False,1
9020,Helbling Technik Bern AG,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9020,9020,False,1
9027,UPMEM,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9027,9027,False,1
9046,Computime,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9046,9046,False,1
9050,THALES AVS Valence,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9050,9050,False,1
9061,ALLEGRO MICROSYSTEMS FRANCE SAS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9061,9061,False,1
9063,EXOSENS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9063,9063,False,1
9065,HAP2U,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9065,9065,False,1
9072,Presto Engineering Inc,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9072,9072,False,1
9103,TIEMPO-SECURE,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9103,9103,False,1
9111,TRIXELL,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9111,9111,False,1
9135,Kapflex Sensors,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9135,9135,False,1
9187,ETH Zurich Gloriastrasse,,2025-09-18 11:45:13.289149,Legacy_companies.csv,9187,9187,False,1
10263,ams-OSRAM AG Rapperswill,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10263,10263,False,1
10299,VIBISCUS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10299,10299,False,1
10310,DGA Bruz,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10310,10310,False,1
10391,GoPro Technology France SAS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10391,10391,False,1
10412,airmems,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10412,10412,False,1
10423,REFLEX CES,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10423,10423,False,1
10456,Meta,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10456,10456,False,1
10525,SATT SAYENS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10525,10525,False,1
10541,Bartels Mikrotechnik,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10541,10541,False,1
