record_id,deal_name,pipeline,deal_stage,deal_status,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date,transformation_notes
7473,RADIUS - WP2 & WP3,Sales Pipeline,Closed Won,Won,0,450000,100,Desogn_Service,Unknown,ICALPS,"Tranches optionnelles du projet RADIUS avec dev de blocs transceiver et microbeamforming
puis Testchip

Decision Vermon sur H1'24",Opportunity,45281.6365,45596,3187,3293,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7474,CAPELLA-Digital-MPW2,Sales Pipeline,Closed Won,Won,0,325000,100,Desogn_Service,Unknown,ICALPS,Reprise puce RF,Opportunity,45299.40634,45338,17484,25640,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7475,SAMOS,Sales Pipeline,Closed Dead,Lost,0,2600000,1,Desogn_Service,Unknown,ICALPS,P&R 2 puces,Opportunity,45309.58742,45596,19881,24510,27,Negotiate,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7476,Livraison Chara v1b en Waffle Pack,Sales Pipeline,Closed Won,Won,0,8400,100,Desogn_Service,Unknown,ICALPS,Pour livraison des 2300 circuits WLSP,Opportunity,45322.47306,45351,3176,3277,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7477,Charav1b - cartes de demo/dev,Sales Pipeline,Closed Won,Won,0,11200,100,Desogn_Service,Unknown,ICALPS,10 cartes de demo/dev avec Chara v1b en QFN + accelerom̬tre fournis par le client,Opportunity,45322.47387,45351,3176,3277,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7478,OXYGENB-Respin,Sales Pipeline,Closed Won,Won,0,30000,100,Desogn_Service,Unknown,ICALPS,Reprise du design OxyB,Opportunity,45329.4477,45351,19796,24377,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7479,Beemin-Amendment5,Sales Pipeline,Closed Won,Won,0,25000,100,Desogn_Service,Unknown,ICALPS,Change request Target,Opportunity,45331.66163,45351,1072,19803,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7480,Besoin support DfT,Sales Pipeline,Closed Dead,Lost,0,20000,10,Desogn_Service,Unknown,ICALPS,Reprise analyse STA,Opportunity,45337.4511,45471,17581,24467,27,Design in,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7481,Wallis,Sales Pipeline,On-Hold,On-Hold,0,950000,80,FTK,Unknown,ICALPS,Companion chip Mosfet GAN,Opportunity,45337.45229,45565,15153,18072,27,Identified,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7482,WESAT-DB130,Sales Pipeline,Closed Won,Won,0,65000,100,Desogn_Service,Unknown,ICALPS,Circuit en DongBu,Opportunity,45337.45396,45366,18686,23167,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7483,Pollux-ADC/DAC,Sales Pipeline,On-Hold,On-Hold,0,195000,50,Desogn_Service,Unknown,ICALPS,design ADC et DAC en Skywater,Opportunity,45337.45488,45380,11714,24374,27,Identified,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7484,ASIC Ultralow power - Generation de courant,Sales Pipeline,Closed Dead,Lost,0,1,1,FTK,Unknown,ICALPS,Generation de courant pour dispositif de sudation sur patch monitoring taux de glucose,Opportunity,45337.46185,45716,21004,25719,35,Identified,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7485,Selon application client - ultralowpower - wearabl,Sales Pipeline,Closed Dead,Lost,0,1,1,FTK,Unknown,ICALPS,Gammao con̤oit un dispositif de generation de courant par electrostatique. Possibilite de besoin selon application client,Opportunity,45337.4635,45716,21006,25721,35,Identified,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7486,Capella-PMU-Validation SIP1,Sales Pipeline,On-Hold,On-Hold,0,150000,50,Desogn_Service,Unknown,ICALPS,Carac PMU,Opportunity,45337.48611,45471,17484,25640,27,Negotiate,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
